time,USD
2022/11/11,"1,759.40"
2022/11/14,"1,768.90"
2022/11/15,"1,771.40"
2022/11/16,"1,773.00"
2022/11/17,"1,758.60"
2022/11/18,"1,751.60"
2022/11/21,"1,740.40"
2022/11/22,"1,743.00"
2022/11/23,"1,740.20"
2022/11/24,"1,755.40"
2022/11/25,"1,751.90"
2022/11/28,"1,746.60"
2022/11/29,"1,752.70"
2022/11/30,"1,753.50"
2022/12/1,"1,803.20"
2022/12/2,"1,784.80"
2022/12/5,"1,776.80"
2022/12/6,"1,773.80"
2022/12/7,"1,782.20"
2022/12/8,"1,790.20"
2022/12/9,"1,796.20"
2022/12/12,"1,786.60"
2022/12/13,"1,823.60"
2022/12/14,"1,808.10"
2022/12/15,"1,783.60"
2022/12/16,"1,792.60"
2022/12/19,"1,790.80"
2022/12/20,"1,813.90"
2022/12/21,"1,817.60"
2022/12/22,"1,800.70"
2022/12/23,"1,800.70"
2022/12/26,"1,800.70"
2022/12/27,"1,800.70"
2022/12/28,"1,803.40"
2022/12/29,"1,813.80"
2022/12/30,"1,813.80"
2023/1/2,"1,813.80"
2023/1/3,"1,843.30"
2023/1/4,"1,857.30"
2023/1/5,"1,834.00"
2023/1/6,"1,852.20"
2023/1/9,"1,878.90"
2023/1/10,"1,878.70"
2023/1/11,"1,872.40"
2023/1/12,"1,882.60"
2023/1/13,"1,907.20"
2023/1/16,"1,917.00"
2023/1/17,"1,913.80"
2023/1/18,"1,920.70"
2023/1/19,"1,918.60"
2023/1/20,"1,924.90"
2023/1/23,"1,914.90"
2023/1/24,"1,920.80"
2023/1/25,"1,930.80"
2023/1/26,"1,932.50"
2023/1/27,"1,923.10"
2023/1/30,"1,924.10"
2023/1/31,"1,923.90"
2023/2/1,"1,925.90"
2023/2/2,"1,921.70"
2023/2/3,"1,875.40"
2023/2/6,"1,873.30"
2023/2/7,"1,870.70"
2023/2/8,"1,872.70"
2023/2/9,"1,879.10"
2023/2/10,"1,859.70"
2023/2/13,"1,856.10"
2023/2/14,"1,863.70"
2023/2/15,"1,831.20"
2023/2/16,"1,829.00"
2023/2/17,"1,834.00"
2023/2/20,"1,845.80"
2023/2/21,"1,836.90"
2023/2/22,"1,835.80"
2023/2/23,"1,826.10"
2023/2/24,"1,811.00"
2023/2/27,"1,818.70"
2023/2/28,"1,824.60"
2023/3/1,"1,841.30"
2023/3/2,"1,836.20"
2023/3/3,"1,841.20"
2023/3/6,"1,849.10"
2023/3/7,"1,826.60"
2023/3/8,"1,816.30"
2023/3/9,"1,831.40"
2023/3/10,"1,861.30"
2023/3/13,"1,911.30"
2023/3/14,"1,907.60"
2023/3/15,"1,923.40"
2023/3/16,"1,922.80"
2023/3/17,"1,962.10"
2023/3/20,"1,969.40"
2023/3/21,"1,952.50"
2023/3/22,"1,949.40"
2023/3/23,"1,978.00"
2023/3/24,"1,993.80"
2023/3/27,"1,946.30"
2023/3/28,"1,962.90"
2023/3/29,"1,965.00"
2023/3/30,"1,965.80"
2023/3/31,"1,979.70"
2023/4/3,"1,983.30"
2023/4/4,"2,009.60"
2023/4/5,"2,030.90"
2023/4/6,"2,001.90"
2023/4/7,"2,001.90"
2023/4/10,"2,001.90"
2023/4/11,"2,002.70"
2023/4/12,"2,008.20"
2023/4/13,"2,048.50"
2023/4/14,"2,019.40"
2023/4/17,"1,995.60"
2023/4/18,"1,999.40"
2023/4/19,"1,990.60"
2023/4/20,"2,007.20"
2023/4/21,"1,973.70"
2023/4/24,"1,978.20"
2023/4/25,"1,987.40"
2023/4/26,"2,003.00"
2023/4/27,"1,985.70"
2023/4/28,"1,982.60"
2023/5/1,"1,982.60"
2023/5/2,"1,995.40"
2023/5/3,"2,014.30"
2023/5/4,"2,044.70"
2023/5/5,"2,001.00"
2023/5/8,"2,001.00"
2023/5/9,"2,030.20"
2023/5/10,"2,037.20"
2023/5/11,"2,016.00"
2023/5/12,"2,019.90"
2023/5/15,"2,019.90"
2023/5/16,"2,007.50"
2023/5/17,"1,974.40"
2023/5/18,"1,960.30"
2023/5/19,"1,961.60"
2023/5/22,"1,970.30"
2023/5/23,"1,969.20"
2023/5/24,"1,969.70"
2023/5/25,"1,948.30"
2023/5/26,"1,947.90"
2023/5/29,"1,947.90"
2023/5/30,"1,952.50"
2023/5/31,"1,964.40"
2023/6/1,"1,974.40"
